State,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
BIHAR,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),14:30,16h 30m,07:00,1.9,1999,45 Seats available
BIHAR,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Travel Point World LLP,A/C Seater / Sleeper (2+2),16:00,16h 01m,08:01,1.3,1999,46 Seats available
BIHAR,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Rajdhani Express,A/C Seater / Sleeper (2+2),14:00,17h 30m,07:30,1.2,2299,6 Seats available
BIHAR,Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari,Maa kali Travels,A/C Seater / Sleeper (2+2),17:15,19h 30m,12:45,1.0,1900,39 Seats available
BIHAR,Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna,Bihar state road transport corporation (BSRTC) - 156563,AC Seater (2+2),18:00,10h 00m,04:00,3.6,468,35 Seats available
BIHAR,Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna,Rekha Luxury,A/C Seater / Sleeper (2+1),22:30,07h 30m,06:00,4.2,580,15 Seats available
BIHAR,Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna,Rajdhani bus service,Non A/C Seater / Sleeper (2+1),22:45,06h 15m,05:00,3.6,550,18 Seats available
BIHAR,Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna,Arzoo Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,06h 30m,05:00,3.5,500,33 Seats available
BIHAR,Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna,Mahuli Travels,A/C Seater / Sleeper (2+1),22:59,07h 16m,06:15,3.1,578,46 Seats available
BIHAR,Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna,Sri Sai ( Jharkhand Paryatak),A/C Seater / Sleeper (2+1),22:50,07h 10m,06:00,4.0,445,10 Seats available
