State,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 1190,Ordinary 3+2 Non AC Seater,10:54,04h 06m,15:00,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 152,Ordinary 3+2 Non AC Seater,11:00,04h 40m,15:40,3.9,242,27 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 150,Ordinary 3+2 Non AC Seater,11:12,03h 48m,15:00,3.9,242,27 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 2,Himsuta AC Seater Volvo/Scania 2+2,11:15,03h 15m,14:30,3.8,389,18 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 47,Himsuta AC Seater Volvo/Scania 2+2,12:25,03h 45m,16:10,4.5,389,34 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 174,Ordinary 3+2 Non AC Seater,12:36,03h 39m,16:15,2.7,242,27 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 1609,Ordinary 3+2 Non AC Seater,13:14,05h 01m,18:15,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 131,Ordinary 3+2 Non AC Seater,14:42,04h 28m,19:10,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 277,Ordinary 3+2 Non AC Seater,15:45,05h 45m,21:30,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 1707,Ordinary 3+2 Non AC Seater,16:28,04h 02m,20:30,3.3,242,27 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 227,Ordinary 3+2 Non AC Seater,17:36,04h 24m,22:00,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 104,A/C Executive (2+3),18:20,03h 01m,21:21,3.1,257,40 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25,03h 01m,22:26,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 1711,Ordinary 3+2 Non AC Seater,20:00,03h 00m,23:00,3.9,242,37 Seats available
Chandigarh,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00,02h 45m,22:45,3.9,389,11 Seats available
