State,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TGSRTC - 7033,e-SUP LUXURY (2+2),09:40,03h 00m,12:40,3.8,283,37 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TGSRTC - 7268,Super Luxury (Non AC Seater 2+2 Push Back),09:45,03h 05m,12:50,4.1,283,25 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TGSRTC - 7114,RAJDHANI (A.C. Semi Sleeper),10:00,03h 00m,13:00,3.8,343,30 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TGSRTC - 7035,e-SUP LUXURY (2+2),10:20,03h 00m,13:20,3.8,283,37 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,TGSRTC - 7037,e-SUP LUXURY (2+2),11:00,03h 00m,14:00,3.8,283,36 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Orange Tours and Travels,Scania AC Multi Axle Sleeper (2+1),18:45,03h 20m,22:05,2.9,600,19 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,IRA Travels,A/C Sleeper (2+1),18:30,02h 05m,20:35,4.0,1729,8 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Northern Travels,Bharat Benz A/C Sleeper (2+1),18:30,03h 30m,22:00,3.4,808,23 Seats available
Telangana,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),18:00,03h 55m,21:55,2.7,1290,12 Seats available
Telangana,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,TGSRTC - 8055,LAHARI A/C SLEEPER CUM SEATER,09:30,04h 45m,14:15,2.2,476,43 Seats available
Telangana,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,TGSRTC - 7105,Super Luxury (Non AC Seater 2+2 Push Back),10:00,05h 45m,15:45,4.3,392,23 Seats available
Telangana,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,TGSRTC - 7163,Super Luxury (Non AC Seater 2+2 Push Back),11:00,05h 30m,16:30,5.0,392,31 Seats available
Telangana,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,TGSRTC - 8019,RAJDHANI (A.C. Semi Sleeper),11:45,04h 55m,16:40,3.7,476,31 Seats available
Telangana,Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,TGSRTC - 8191,LAHARI A/C SLEEPER CUM SEATER,12:30,05h 45m,18:15,3.7,476,40 Seats available
Telangana,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6436,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,04h 30m,15:00,3.5,344,32 Seats available
Telangana,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6606,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:00,04h 30m,15:30,3.8,344,32 Seats available
Telangana,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,APSRTC - 6260,INDRA(A.C. Seater),11:15,04h 00m,15:15,3.1,416,35 Seats available
Telangana,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,,,,,,,,
