State,Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MHB0187,Rajdhani Non AC Seater 2+3,10:30,03h 54m,14:24,3.3,261,49 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MHB0266,Ordinary Non AC Seater 2+3,11:30,03h 54m,15:24,3.3,261,52 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MHB0274,Ordinary Non AC Seater 2+3,12:00,03h 41m,15:41,3.3,255,52 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MHB0185,Ordinary Non AC Seater 2+3,12:30,03h 54m,16:24,3.3,261,52 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - MHB0264,Ordinary Non AC Seater 2+3,13:00,03h 47m,16:47,3.3,255,50 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,Non A/C Seater / Sleeper (2+1),21:30,04h 30m,02:00,2.8,550,45 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Royal Safari India Travels,A/C Seater Push Back (2+2),22:00,02h 30m,00:30,2.6,1713,38 Seats available
Uttar pradesh,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Royal Safari India Travels,Bharat Benz A/C Sleeper (2+1),21:00,02h 30m,23:30,2.6,1456,18 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,UPSRTC - STD0379,Ordinary Non AC Seater 2+3,11:36,07h 00m,18:36,3.3,425,52 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,UPSRTC - MHB0248,Ordinary Non AC Seater 2+3,13:00,08h 30m,21:30,3.3,452,52 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,UPSRTC - PAD0005,Rajdhani Non AC Seater 2+3,13:00,07h 05m,20:05,3.3,451,51 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,UPSRTC - SRG0033,Ordinary Non AC Seater 2+3,15:00,06h 45m,21:45,3.3,439,52 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),19:55,05h 24m,01:19,4.1,1399,21 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Fouji travels,A/C Seater / Sleeper (2+1),16:50,06h 20m,23:10,4.2,1099,37 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:00,05h 30m,01:30,4.1,1299,43 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Anshi Raj Shree Travels,A/C Seater / Sleeper (2+1),18:00,05h 00m,23:00,4.5,1999,8 Seats available
Uttar pradesh,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,FlixBus,A/C Sleeper (2+1),19:00,06h 05m,01:05,4.3,1909.82,8 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,UPSRTC - MDD0008,Janrath AC Seater 2+2,11:15,04h 00m,15:15,3.3,326,33 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,UPSRTC - GRH0127,Ordinary Non AC Seater 2+3,12:00,04h 11m,16:11,3.3,294,52 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,UPSRTC - MDD0014,Janrath AC Seater 2+2,12:15,04h 00m,16:15,2.6,326,36 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,UPSRTC - PNG0081,Ordinary Non AC Seater 2+3,12:25,04h 04m,16:29,3.3,298,52 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,UPSRTC - MDD0036,Ordinary Non AC Seater 2+3,12:30,03h 00m,15:30,3.3,298,52 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,FlixBus,Bharat Benz A/C Sleeper (2+1),10:10,03h 35m,13:45,3.4,597.32,4 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,International Tourist Centre,A/C Seater / Sleeper (2+2),11:45,03h 45m,15:30,4.8,599,40 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,RS YADAV SMART BUS,VE A/C Seater / Sleeper (2+1),21:40,05h 05m,02:45,5.0,799,37 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,RS YADAV SMART BUS,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),22:00,04h 25m,02:25,3.4,599,25 Seats available
Uttar pradesh,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad,International Tourist Centre,VE A/C Seater / Sleeper (2+1),22:15,04h 45m,03:00,4.8,690,24 Seats available
Uttar pradesh,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Raj Kalpana Travels Pvt.ltd,Bharat Benz A/C Seater /Sleeper (2+1),13:00,05h 30m,18:30,4.6,989,19 Seats available
Uttar pradesh,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Vaishali Expresso Pvt. Ltd.,A/C Seater / Sleeper (2+1),22:40,05h 30m,04:10,4.3,1235,22 Seats available
Uttar pradesh,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),18:15,05h 25m,23:40,4.6,1000,11 Seats available
Uttar pradesh,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),12:30,05h 00m,17:30,4.5,800,22 Seats available
Uttar pradesh,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),,17:30,05h 30m,23:00,4.8,1099,5 Seats available
